20190312_1424
Trial Settings	AS	BA	NP
Trial Number	1
Language of Task (English = 1, French = 2)	1	Target Set	0
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
4124.4927236228	0.040487278176442	0	0	0	0	-0.094723336398602	0.038264129310846	0.030793830752373	0.070031844079494	0.070031844079494	0.042308546602726	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.506683953	0.054447608320515	0	0	0	0	-0.094736114144325	0.038272313773632	0.030761420726776	0.070022836327553	0.070022836327553	0.042286198586226	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5200172863	0.067780941652927	0	0	0	0	-0.094705633819103	0.038289554417133	0.030785609036684	0.070020578801632	0.070020578801632	0.042300883680582	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5390148488	0.086778504160065	0	0	0	0	-0.094662226736546	0.038275666534901	0.030752835795283	0.070048920810223	0.070048920810223	0.042262777686119	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5523481821	0.10011183749248	0	0	0	0	-0.094656735658646	0.03824807703495	0.030735798180103	0.070068031549454	0.070068031549454	0.04224893450737	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5646640623	0.11242771763045	0	0	0	0	-0.094659633934498	0.03817630186677	0.030668510124087	0.070009127259254	0.070009127259254	0.042241714894772	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5779973956	0.12576105096286	0	0	0	0	-0.094588331878185	0.038121663033962	0.030612418428063	0.069983527064323	0.069983527064323	0.042255070060492	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.5888305324	0.13659418772568	0	0	0	0	-0.094552040100098	0.038095992058516	0.030556958168745	0.069980345666409	0.069980345666409	0.042220316827297	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6021638657	0.14992752105809	0	0	0	0	-0.094528585672379	0.037995904684067	0.030484139919281	0.069975346326828	0.069975346326828	0.042187876999378	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6187026723	0.16646632760148	0	0	0	0	-0.094517029821873	0.037964418530464	0.030471028760076	0.069980084896088	0.069980084896088	0.042165964841843	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6306048764	0.17836853177596	0	0	0	0	-0.094506844878197	0.037944719195366	0.030438182875514	0.06991171836853	0.06991171836853	0.042164422571659	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6439382098	0.19170186510837	0	0	0	0	-0.094511181116104	0.037936139851809	0.030416483059525	0.069900251924992	0.069900251924992	0.042189307510853	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6553646051	0.20312826049121	0	0	0	0	-0.094520807266235	0.037939950823784	0.030407281592488	0.069917976856232	0.069917976856232	0.042174369096756	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6686979385	0.21646159382362	0	0	0	0	-0.09450850635767	0.03791668266058	0.030406685546041	0.06991346180439	0.06991346180439	0.042179323732853	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6834821063	0.23124576166629	0	0	0	0	-0.094530209898949	0.037933219224215	0.030450396239758	0.069906704127789	0.069906704127789	0.042195528745651	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.6968154397	0.2445790949987	0	0	0	0	-0.094514615833759	0.037928104400635	0.030440585687757	0.069915808737278	0.069915808737278	0.042163252830505	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.7144789194	0.26224257479134	0	0	0	0	-0.094535648822784	0.037963755428791	0.030475609004498	0.069913879036903	0.069913879036903	0.042221087962389	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.7266955387	0.27445919403908	0	0	0	0	-0.094560481607914	0.037969473749399	0.030501486733556	0.06986890733242	0.06986890733242	0.042248021811247	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.740028872	0.28779252737149	0	0	0	0	-0.094563975930214	0.037979774177074	0.030537648126483	0.069907404482365	0.069907404482365	0.042219705879688	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.751250672	0.29901432730003	0	0	0	0	-0.094553910195827	0.0380296446383	0.030548688024282	0.069891467690468	0.069891467690468	0.042239896953106	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.7645840053	0.31234766063244	0	0	0	0	-0.094578020274639	0.038063108921051	0.030613554641604	0.069894060492516	0.069894060492516	0.042279694229364	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.7790943763	0.32685803161712	0	0	0	0	-0.094579041004181	0.038083784282207	0.030597535893321	0.069928228855133	0.069928228855133	0.042294874787331	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.7924277096	0.34019136494953	0	0	0	0	-0.094656944274902	0.038113228976727	0.030687471851707	0.069879204034805	0.069879204034805	0.042377639561892	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.8057610429	0.35352469828194	0	0	0	0	-0.09461922198534	0.038123495876789	0.030646730214357	0.069917447865009	0.069917447865009	0.042342305183411	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.8171107832	0.36487443856731	0	0	0	0	-0.094612568616867	0.038141034543514	0.030695024877787	0.069913409650326	0.069913409650326	0.04239210113883	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.8304441166	0.37820777189972	0	0	0	0	-0.094629637897015	0.038145001977682	0.030712369829416	0.069914802908897	0.069914802908897	0.042418643832207	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.8420174075	0.38978106280683	0	0	0	0	-0.09467551112175	0.038171894848347	0.030739348381758	0.069897070527077	0.069897070527077	0.042417742311954	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4124.8553507408	0.40311439613924	0	0	0	0	-0.094681121408939	0.038188595324755	0.030762419104576	0.069917693734169	0.069917693734169	0.042426057159901	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
