20190312_1058
Trial Settings	AS	BA	NP
Trial Number	1
Language of Task (English = 1, French = 2)	2	Target Set	0
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
5739.530473915	0.02112649396895	0	0	0	0	-0.11610870808363	0.044584203511477	-0.058792114257813	0.11038154363632	0.11038154363632	0.046039320528507	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.5426954673	0.033348046237734	0	0	0	0	-0.11611621081829	0.044590778648853	-0.058781955391169	0.11038223654032	0.11038223654032	0.046063672751188	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.5560288006	0.046681379570146	0	0	0	0	-0.11611097306013	0.044600300490856	-0.058763023465872	0.11039385944605	0.11039385944605	0.046054974198341	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.5676897401	0.058342319036456	0	0	0	0	-0.11611468344927	0.044597581028938	-0.058784298598766	0.11041793227196	0.11041793227196	0.046060811728239	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.5810230734	0.071675652368867	0	0	0	0	-0.1161153241992	0.044596713036299	-0.058787580579519	0.11039301007986	0.11039301007986	0.046062763780355	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.5999158145	0.090568393492504	0	0	0	0	-0.11609210819006	0.044588759541512	-0.058799553662539	0.11039654910564	0.11039654910564	0.046060130000114	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6119167364	0.10256931538061	0	0	0	0	-0.11609087884426	0.044602766633034	-0.058785252273083	0.11036887764931	0.11036887764931	0.046088498085737	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6254512785	0.11610385745917	0	0	0	0	-0.11609467118979	0.044593349099159	-0.058796282857656	0.11039052158594	0.11039052158594	0.046084877103567	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6369308671	0.12758344608665	0	0	0	0	-0.11608690023422	0.044574353843927	-0.058822378516197	0.11037322878838	0.11037322878838	0.046063482761383	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6502642004	0.14091677941906	0	0	0	0	-0.11610352247953	0.044590979814529	-0.058803327381611	0.11042193323374	0.11042193323374	0.046075817197561	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6649245866	0.15557716557214	0	0	0	0	-0.11609786003828	0.044575873762369	-0.058819372206926	0.11038525402546	0.11038525402546	0.046072371304035	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6782579199	0.16891049890455	0	0	0	0	-0.1160950511694	0.044580183923244	-0.058816459029913	0.11040690541267	0.11040690541267	0.046059496700764	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5739.6915912533	0.18224383223696	0	0	0	0	-0.11609942466021	0.044592000544071	-0.058824475854635	0.11037837713957	0.11037837713957	0.046058617532253	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
