20190121_1454
Trial Settings	AS	CO	NP
Trial Number	1
Language of Task (English = 1, French = 2)	2	Target Set	1
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
7540.4205424053	0.018295956730981	0	0	0	0	-0.1547382324934	0.032877430319786	-0.0450220964849	0.1653047055006	0.1653047055006	0.040020659565926	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.4402442169	0.037997768289642	0	0	0	0	-0.15474607050419	0.032859660685062	-0.045046675950289	0.16511249542236	0.16511249542236	0.039667584002018	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.4525162462	0.050269797569854	0	0	0	0	-0.15474607050419	0.032859660685062	-0.045046675950289	0.16511249542236	0.16511249542236	0.039667584002018	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.4658495795	0.063603130902266	0	0	0	0	-0.15474137663841	0.032870374619961	-0.04504132643342	0.16519142687321	0.16519142687321	0.039457842707634	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.4774868348	0.075240386215228	0	0	0	0	-0.15475149452686	0.032852400094271	-0.045022416859865	0.16511078178883	0.16511078178883	0.039482709020376	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.4908201682	0.088573719547639	0	0	0	0	-0.15474289655685	0.032866459339857	-0.045022163540125	0.16511246562004	0.16511246562004	0.039404511451721	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5060276453	0.10378119669531	0	0	0	0	-0.15475669503212	0.032851174473763	-0.045051269233227	0.16512532532215	0.16512532532215	0.039325278252363	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5193609786	0.11711453002772	0	0	0	0	-0.15477375686169	0.032859679311514	-0.045035690069199	0.16501976549625	0.16501976549625	0.039361733943224	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.532694312	0.13044786336013	0	0	0	0	-0.15472553670406	0.032860722392797	-0.045028664171696	0.16515396535397	0.16515396535397	0.039483278989792	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5447700442	0.14252359563125	0	0	0	0	-0.15473082661629	0.032854776829481	-0.04504506289959	0.16524063050747	0.16524063050747	0.039674010127783	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5581033776	0.15585692896366	0	0	0	0	-0.15474300086498	0.032843809574842	-0.045025605708361	0.16539388895035	0.16539388895035	0.03996567055583	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5697984015	0.16755195290898	0	0	0	0	-0.15474665164948	0.032871015369892	-0.045013446360826	0.16567586362362	0.16567586362362	0.040546361356974	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5831317348	0.18088528624139	0	0	0	0	-0.15474215149879	0.032846614718437	-0.045027207583189	0.1656559407711	0.1656559407711	0.040724128484726	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.5982591784	0.19601272976342	0	0	0	0	-0.15472410619259	0.032873697578907	-0.045014176517725	0.16578882932663	0.16578882932663	0.040956553071737	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.6115925117	0.20934606309584	0	0	0	0	-0.15473487973213	0.032869800925255	-0.044999118894339	0.16575415432453	0.16575415432453	0.041165933012962	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.6241449415	0.22189849289407	0	0	0	0	-0.15472416579723	0.03289233520627	-0.044981397688389	0.1657502502203	0.1657502502203	0.041278064250946	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.636577038	0.23433058942737	0	0	0	0	-0.15472328662872	0.032890893518925	-0.044990729540586	0.16589112579823	0.16589112579823	0.04112921282649	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.652279469	0.25003302039386	0	0	0	0	-0.15474663674831	0.032862082123756	-0.045006304979324	0.16570623219013	0.16570623219013	0.041064128279686	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.6652312796	0.26298483102346	0	0	0	0	-0.15472109615803	0.032871276140213	-0.045031283050776	0.16581346094608	0.16581346094608	0.040876846760511	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.678564613	0.27631816435587	0	0	0	0	-0.15472553670406	0.032879572361708	-0.045012883841991	0.16567099094391	0.16567099094391	0.040776755660772	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.6901940454	0.28794759683387	0	0	0	0	-0.15474924445152	0.032888628542423	-0.045006662607193	0.16552495956421	0.16552495956421	0.040485799312592	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7035273788	0.30128093016629	0	0	0	0	-0.15473565459251	0.032859187573195	-0.045002851635218	0.16543772816658	0.16543772816658	0.040375377982855	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.714781625	0.31253517643654	0	0	0	0	-0.15474419295788	0.032838366925716	-0.045042421668768	0.16541175544262	0.16541175544262	0.04030754417181	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7264090667	0.32416261810158	0	0	0	0	-0.15477815270424	0.032850228250027	-0.045028772205114	0.16536654531956	0.16536654531956	0.040291804820299	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7397424	0.33749595143399	0	0	0	0	-0.15474319458008	0.032853201031685	-0.045010898262262	0.16506046056747	0.16506046056747	0.039941173046827	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7510608216	0.34881437304011	0	0	0	0	-0.15473192930222	0.032852225005627	-0.045036524534225	0.16524195671082	0.16524195671082	0.039702881127596	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.764394155	0.36214770637253	0	0	0	0	-0.1547319740057	0.032882198691368	-0.045016404241323	0.16509912908077	0.16509912908077	0.039550952613354	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7777274883	0.37548103970494	0	0	0	0	-0.15471728146076	0.032844658941031	-0.045028485357761	0.16505739092827	0.16505739092827	0.039485096931458	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.7892640467	0.38701759807373	0	0	0	0	-0.15470169484615	0.032869946211576	-0.045041128993034	0.16502286493778	0.16502286493778	0.039662413299084	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.80259738	0.40035093140614	0	0	0	0	-0.15469640493393	0.032867670059204	-0.045041043311357	0.1650300770998	0.1650300770998	0.039723232388496	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8141938132	0.411947364556	0	0	0	0	-0.15472148358822	0.032866567373276	-0.045004945248365	0.16517652571201	0.16517652571201	0.039642531424761	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8275271465	0.42528069788841	0	0	0	0	-0.15470972657204	0.032882336527109	-0.045015450567007	0.16509196162224	0.16509196162224	0.039784956723452	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8408604798	0.43861403122082	0	0	0	0	-0.15472257137299	0.032844360917807	-0.045019969344139	0.16508474946022	0.16508474946022	0.039809253066778	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8536916112	0.45144516257824	0	0	0	0	-0.15472275018692	0.032818999141455	-0.045019879937172	0.16521525382996	0.16521525382996	0.039698578417301	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8639451453	0.46169869666937	0	0	0	0	-0.1547274440527	0.032840594649315	-0.045021064579487	0.16509836912155	0.16509836912155	0.039772547781467	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8762403332	0.47399388455233	0	0	0	0	-0.15473192930222	0.032824072986841	-0.045027319341898	0.16508439183235	0.16508439183235	0.039740063250065	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.8895736665	0.48732721788474	0	0	0	0	-0.15472356975079	0.032788302749395	-0.045073617249727	0.16505615413189	0.16505615413189	0.039633385837078	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9043829844	0.5021365357652	0	0	0	0	-0.15468771755695	0.032819516956806	-0.04505330696702	0.16508533060551	0.16508533060551	0.039603151381016	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9177163177	0.51546986909761	0	0	0	0	-0.15475066006184	0.032815996557474	-0.045061979442835	0.16503731906414	0.16503731906414	0.039554994553328	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.931049651	0.52880320243003	0	0	0	0	-0.15474869310856	0.032822217792273	-0.045055739581585	0.16514474153519	0.16514474153519	0.039448745548725	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9425260337	0.54027958514052	0	0	0	0	-0.15474982559681	0.032766703516245	-0.04507913812995	0.16508448123932	0.16508448123932	0.039388220757246	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9558593671	0.55361291847294	0	0	0	0	-0.15481838583946	0.032786246389151	-0.045045617967844	0.16501899063587	0.16501899063587	0.039318054914474	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9673805807	0.56513413204902	0	0	0	0	-0.1547763645649	0.03281133249402	-0.045059837400913	0.16500282287598	0.16500282287598	0.039285093545914	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.980713914	0.57846746538144	0	0	0	0	-0.15476050972939	0.032774817198515	-0.045085914433002	0.16491927206516	0.16491927206516	0.039122257381678	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7540.9940472473	0.59180079871385	0	0	0	0	-0.15477465093136	0.032756663858891	-0.04508151113987	0.16488966345787	0.16488966345787	0.039066851139069	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0055103914	0.60326394277854	0	0	0	0	-0.15478508174419	0.032749067991972	-0.045083791017532	0.16485501825809	0.16485501825809	0.038934126496315	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0188437247	0.61659727611095	0	0	0	0	-0.15481069684029	0.03270360827446	-0.045078314840794	0.16476655006409	0.16476655006409	0.038731068372726	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0306122602	0.62836581164447	0	0	0	0	-0.15479792654514	0.03268476575613	-0.045117001980543	0.16460336744785	0.16460336744785	0.038213133811951	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0439455936	0.64169914497688	0	0	0	0	-0.1547921448946	0.032680261880159	-0.045106660574675	0.16461992263794	0.16461992263794	0.038017503917217	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0577460665	0.6554996179384	0	0	0	0	-0.15478232502937	0.032606642693281	-0.045168593525887	0.16455882787704	0.16455882787704	0.037844397127628	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.069273422	0.66702697344135	0	0	0	0	-0.15482459962368	0.032605908811092	-0.045162491500378	0.16461044549942	0.16461044549942	0.037694375962019	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0826067554	0.68036030677376	0	0	0	0	-0.15482550859451	0.032559599727392	-0.045212760567665	0.16456954181194	0.16456954181194	0.037592694163322	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7541.0941457208	0.69189927216939	0	0	0	0	-0.1547998636961	0.032552901655436	-0.045203752815723	0.16457983851433	0.16457983851433	0.03755846619606	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
