20190426_1450
Trial Settings	AS	CO	NP
Trial Number	1
Language of Task (English = 1, French = 2)	1	Target Set	1
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
6310.4236870427	0.047027396511112	0	0	0	0	-0.17050790786743	0.056171234697104	-0.096071556210518	0.07885230332613	0.07885230332613	0.062134880572557	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.4351708191	0.058511172899671	0	0	0	0	-0.17056225240231	0.056258495897055	-0.095998421311378	0.078837767243385	0.078837767243385	0.062136285007	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.4485041524	0.071844506232082	0	0	0	0	-0.17044860124588	0.056274309754372	-0.095970399677753	0.078822232782841	0.078822232782841	0.062128495424986	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.4601457506	0.083486104373151	0	0	0	0	-0.17047433555126	0.056377701461315	-0.095920622348785	0.07867905497551	0.07867905497551	0.062430623918772	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.4734508096	0.09679116334064	0	0	0	0	-0.17052564024925	0.056441955268383	-0.095904782414436	0.078799806535244	0.078799806535244	0.062269303947687	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.488128467	0.11146882082448	0	0	0	0	-0.17052400112152	0.056457370519638	-0.095834776759148	0.078793324530125	0.078793324530125	0.062138538807631	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.4995670347	0.12290738851516	0	0	0	0	-0.17045198380947	0.056474879384041	-0.095837317407131	0.0788394510746	0.0788394510746	0.062110040336847	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5116878439	0.13502819764471	0	0	0	0	-0.17044602334499	0.05648497492075	-0.095804557204247	0.078873045742512	0.078873045742512	0.062076803296804	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5296897392	0.15303009296622	0	0	0	0	-0.17042568325996	0.056435778737068	-0.095839723944664	0.07889486849308	0.07889486849308	0.062075886875391	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5430230725	0.16636342629863	0	0	0	0	-0.1704588830471	0.056434709578753	-0.095861837267876	0.078833885490894	0.078833885490894	0.062100123614073	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5547434231	0.17808377685287	0	0	0	0	-0.17039774358273	0.056389573961496	-0.095842987298965	0.078915871679783	0.078915871679783	0.062062337994576	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5680767564	0.19141711018528	0	0	0	0	-0.17038853466511	0.056395329535007	-0.095887899398804	0.078898474574089	0.078898474574089	0.062194637954235	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5814100897	0.2047504435177	0	0	0	0	-0.17038853466511	0.056395329535007	-0.095887899398804	0.078898474574089	0.078898474574089	0.062194637954235	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.5930240845	0.21636443824718	0	0	0	0	-0.17041383683681	0.056336365640163	-0.095913529396057	0.07890821993351	0.07890821993351	0.062198769301176	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6063574178	0.22969777157959	0	0	0	0	-0.17043586075306	0.056338667869568	-0.095941849052906	0.078880652785301	0.078880652785301	0.062239311635494	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6174427725	0.2407831263281	0	0	0	0	-0.17044177651405	0.056334137916565	-0.095952287316322	0.078918248414993	0.078918248414993	0.062100194394588	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6307761059	0.25411645966051	0	0	0	0	-0.1704326570034	0.056331589818001	-0.095935508608818	0.078963585197926	0.078963585197926	0.062229041010141	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6441094392	0.26744979299292	0	0	0	0	-0.17042630910873	0.056342121213675	-0.095836013555527	0.07890297472477	0.07890297472477	0.062276590615511	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6555224484	0.27886280223083	0	0	0	0	-0.17050625383854	0.056337174028158	-0.095905169844627	0.078876286745071	0.078876286745071	0.062267709523439	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6688557818	0.29219613556324	0	0	0	0	-0.17052724957466	0.056310761719942	-0.095943078398705	0.078935757279396	0.078935757279396	0.062215559184551	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6800317003	0.30337205413343	0	0	0	0	-0.17045752704144	0.056285623461008	-0.095941796898842	0.078940361738205	0.078940361738205	0.062238574028015	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6310.6933650337	0.31670538746584	0	0	0	0	-0.17052547633648	0.056273482739925	-0.095943085849285	0.078892007470131	0.078892007470131	0.062379900366068	0	4.6253205709945e-009	-0	0	-0	-0	1	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
